date,avg.temp.air.C,rain.total.mm
6/25/22,16.62,0
6/26/22,18.29,0
6/27/22,20.01,0
6/28/22,22.41,0
6/29/22,20.19,0
6/30/22,17.69,0
7/1/22,17.29,0
7/2/22,16.86,0
7/3/22,15.2,0
7/4/22,14.8,0
7/5/22,15.73,0
7/6/22,16.06,0
7/7/22,16.43,0
7/8/22,17.16,0
7/9/22,18.49,0
7/10/22,19.42,0
7/11/22,19.68,0
7/12/22,20.82,0
7/13/22,20.29,0
7/14/22,19.42,0
7/15/22,20.94,0
7/16/22,19.94,0
7/17/22,21.38,0
7/18/22,18.44,1.778
7/19/22,19.37,0
7/20/22,20.44,0
7/21/22,21,0
7/22/22,21.62,0
7/23/22,19.92,0
7/24/22,19.61,0
7/25/22,19.98,0
7/26/22,17.68,0
7/27/22,20.17,0
7/28/22,20.89,0
7/29/22,21.52,0
7/30/22,19.92,0
7/31/22,19.49,1.016
8/1/22,16.5,0
8/2/22,16.67,0
8/3/22,16.51,0.508
8/4/22,14.84,9.906
8/5/22,13.85,22.098
8/6/22,16.35,0.254
8/7/22,17.5,0
8/8/22,15.8,3.556
8/9/22,16.94,0.254
8/10/22,17.16,0
8/11/22,18.02,0
8/12/22,18.4,0
8/13/22,18.52,0
8/14/22,18.54,0
8/15/22,19.45,0
8/16/22,17.92,0
8/17/22,17.03,2.032
8/18/22,18.48,0.508
8/19/22,18.32,0
8/20/22,18.89,0
8/21/22,19.84,0
8/22/22,20.09,0
8/23/22,20.87,0