"","sampleNames","sequencing_ID","sample_ID","read.sum","time.point","date","lake","sample_type","organism","Number.of.Organism","phy_group","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","elev.cat"
"01_16S","01_16S","MP_01_16S","1_Z22",6330,"1",2022-06-29,"Convict","Zooplankton","Calanoid",50,"copepoda",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"02_16S","02_16S","MP_02_16S","65_Z",9644,"3",2022-06-29,"Blue","Zooplankton","Cyclopoid",50,"copepoda",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"Above"
"03_16S","03_16S","MP_03_16S","95_Z",10597,"3",2022-07-21,"Cooney","Zooplankton","Cyclopoid",50,"copepoda",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"04_16S","04_16S","MP_04_16S","45_Z22",9094,"1",2022-06-29,"Virginia","Zooplankton","Cyclopoid",50,"copepoda",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"Above"
"05_16S","05_16S","MP_05_16S","78_Z",11128,"3",2022-07-21,"Convict","Zooplankton","Calanoid",50,"copepoda",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"06_16S","06_16S","MP_06_16S","39_Z",91373,"2",2022-07-09,"Virginia","Zooplankton","Calanoid",50,"copepoda",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"07_16S","07_16S","MP_07_16S","31_Z22",16609,"1",2022-06-29,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"Above"
"08_16S","08_16S","MP_08_16S","28_Z",478,"2",2022-07-09,"Convict","Zooplankton","Calanoid",40,"copepoda",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"Below"
"09_16S","09_16S","MP_09_16S","51_Z22",1344,"1",2022-06-29,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"Above"
"10_16S","10_16S","MP_10_16S","4_Z",2202,"2",2022-07-09,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"Above"
"101_16S","101_16S","MP_101_16S","10_Z22",1727,"1",2022-06-29,"Convict","Zooplankton","Daphnia",20,"cladocera",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"102_16S","102_16S","MP_102_16S","116_Z",751,"3",2022-07-21,"Serene","Zooplankton","Large Calanoid",10,"copepoda",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"103_16S","103_16S","MP_103_16S","102_Z",466,"3",2022-07-21,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"104_16S","104_16S","MP_104_16S","59_Z",6892,"3",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"Above"
"106_16S","106_16S","MP_106_16S","113_Z",3305,"3",2022-07-21,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"107_16S","107_16S","MP_107_16S","90_Z",195,"3",2022-07-21,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"109_16S","109_16S","MP_109_16S","61_Z",1397,"3",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"Above"
"11_16S","11_16S","MP_11_16S","31_Z",4677,"2",2022-07-09,"Virginia","Zooplankton","Cyclopoid",50,"copepoda",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"110_16S","110_16S","MP_110_16S","87_Z",139,"3",2022-07-21,"Convict","Zooplankton","Bosmina",50,"cladocera",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"111_16S","111_16S","MP_111_16S","118_Z",144,"3",2022-07-21,"Serene","Zooplankton","Daphnia",30,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"112_16S","112_16S","MP_112_16S","19_Z22",276,"1",2022-06-29,"Eastern Brook","Zooplankton","Bosmina",50,"cladocera",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"Above"
"113_16S","113_16S","MP_113_16S","33_Z22",13587,"1",2022-06-29,"Cooney","Zooplankton","Daphnia",100,"cladocera",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"Above"
"114_16S","114_16S","MP_114_16S","3_Z",265,"2",2022-07-09,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"Above"
"115_16S","115_16S","MP_115_16S","67_Z",182,"3",2022-07-21,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"Above"
"116_16S","116_16S","MP_116_16S","59_Z22",10336,"1",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"Above"
"117_16S","117_16S","MP_117_16S","106_Z",4039,"3",2022-07-21,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"118_16S","118_16S","MP_118_16S","22_Z",666,"2",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"119_16S","119_16S","MP_119_16S","97_Z",3084,"3",2022-07-21,"Cooney","Zooplankton","Calanoid",50,"copepoda",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"12_16S","12_16S","MP_12_16S","74_Z",592,"3",2022-07-21,"Virginia","Zooplankton","Cyclopoid",50,"copepoda",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"Above"
"121_16S","121_16S","MP_121_16S","112_Z",2011,"3",2022-07-21,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"122_16S","122_16S","MP_122_16S","101_Z",618,"3",2022-07-21,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"123_16S","123_16S","MP_123_16S","8_Z22",188,"1",2022-06-29,"Convict","Zooplankton","Daphnia",20,"cladocera",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"124_16S","124_16S","MP_124_16S","98_Z",1046,"3",2022-07-21,"Cooney","Zooplankton","Calanoid",50,"copepoda",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"125_16S","125_16S","MP_125_16S","9_Z22",339,"1",2022-06-29,"Convict","Zooplankton","Daphnia",20,"cladocera",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"126_16S","126_16S","MP_126_16S","117_Z",634,"3",2022-07-21,"Serene","Zooplankton","Daphnia",30,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"127_16S","127_16S","MP_127_16S","41_Z",15731,"2",2022-07-09,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"Above"
"128_16S","128_16S","MP_128_16S","110_Z",2262,"3",2022-07-21,"Eastern Brook","Zooplankton","Cyclopoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"130_16S","130_16S","MP_130_16S","49_Z",1999,"5",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"Above"
"131_16S","131_16S","MP_131_16S","111_Z",9735,"3",2022-07-21,"Eastern Brook","Zooplankton","Holopedium",8,"cladocera",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"132_16S","132_16S","MP_132_16S","48_Z22",5273,"1",2022-06-29,"Virginia","Zooplankton","Cyclopoid",98,"copepoda",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"Above"
"133_16S","133_16S","MP_133_16S","83_Z",1303,"3",2022-07-21,"Convict","Zooplankton","Daphnia",30,"cladocera",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"134_16S","134_16S","MP_134_16S","20_Z22",397,"1",2022-06-29,"Eastern Brook","Zooplankton","Cyclopoid",50,"copepoda",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"Above"
"135_16S","135_16S","MP_135_16S","124_Z",243,"3",2022-07-21,"Serene","Zooplankton","Holopedium",10,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"136_16S","136_16S","MP_136_16S","17_Z22",137,"1",2022-06-29,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"Above"
"137_16S","137_16S","MP_137_16S","21_Z",2926,"2",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"138_16S","138_16S","MP_138_16S","96_Z",1887,"3",2022-07-21,"Cooney","Zooplankton","Calanoid",50,"copepoda",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"139_16S","139_16S","MP_139_16S","58_Z22",4286,"1",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"Above"
"14_16S","14_16S","MP_14_16S","94_Z",6635,"3",2022-07-21,"Cooney","Zooplankton","Cyclopoid",50,"copepoda",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"140_16S","140_16S","MP_140_16S","81_Z",468,"3",2022-07-21,"Convict","Zooplankton","Daphnia",30,"cladocera",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"141_16S","141_16S","MP_141_16S","34_Z",5038,"2",2022-07-09,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"143_16S","143_16S","MP_143_16S","6_Z22",2726,"1",2022-06-29,"Convict","Zooplankton","Daphnia",20,"cladocera",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"144_16S","144_16S","MP_144_16S","107_Z",3739,"3",2022-07-21,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"145_16S","145_16S","MP_145_16S","82_Z",513,"3",2022-07-21,"Convict","Zooplankton","Daphnia",30,"cladocera",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"146_16S","146_16S","MP_146_16S","23_Z",1468,"2",2022-06-29,"Blue","Zooplankton","Cyclopoid",50,"copepoda",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"147_16S","147_16S","MP_147_16S","58_Z",1501,"3",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"Above"
"15_16S","15_16S","MP_15_16S","22_Z22",1419,"1",2022-06-29,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"Above"
"150_16S","150_16S","MP_150_16S","46_Z",2054,"2",2022-07-09,"Cooney","Zooplankton","Cyclopoid",17,"copepoda",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"Above"
"151_16S","151_16S","MP_151_16S","19_Z",1583,"2",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"152_16S","152_16S","MP_152_16S","126_Z",163,"3",2022-07-21,"Serene","Zooplankton","Ceriodaphnia",50,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"153_16S","153_16S","MP_153_16S","11_Z22",652,"1",2022-06-29,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"Above"
"156_16S","156_16S","MP_156_16S","60_Z22",3458,"1",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"Above"
"157_16S","157_16S","MP_157_16S","43_Z",4743,"2",2022-07-09,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"Above"
"158_16S","158_16S","MP_158_16S","114_Z",1028,"3",2022-07-21,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"159_16S","159_16S","MP_159_16S","129_Z",601,"4",2022-08-04,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"Above"
"160_16S","160_16S","MP_160_16S","60_Z",806,"3",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"Above"
"161_16S","161_16S","MP_161_16S","42_Z",3528,"2",2022-07-09,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"Above"
"162_16S","162_16S","MP_162_16S","20_Z",170,"2",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"163_16S","163_16S","MP_163_16S","108_Z",2518,"3",2022-07-21,"Eastern Brook","Zooplankton","Cyclopoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"166_16S","166_16S","MP_166_16S","35_Z",136,"2",2022-07-09,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"167_16S","167_16S","MP_167_16S","103_Z",221,"3",2022-07-21,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"168_16S","168_16S","MP_168_16S","122_Z",308,"3",2022-07-21,"Serene","Zooplankton","Holopedium",10,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"169_16S","169_16S","MP_169_16S","12_Z",1781,"2",2022-07-09,"Serene","Zooplankton","Ceriodaphnia",50,"cladocera",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"Above"
"17_16S","17_16S","MP_17_16S","56_Z",18335,"2",2022-07-09,"Cooney","Zooplankton","Calanoid",27,"copepoda",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"Above"
"170_16S","170_16S","MP_170_16S","88_Z",5132,"3",2022-07-21,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"171_16S","171_16S","MP_171_16S","33_Z",2145,"2",2022-07-09,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"172_16S","172_16S","MP_172_16S","120_Z",1882,"3",2022-07-21,"Serene","Zooplankton","Daphnia",30,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"174_16S","174_16S","MP_174_16S","7_Z22",266,"1",2022-06-29,"Convict","Zooplankton","Daphnia",20,"cladocera",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"175_16S","175_16S","MP_175_16S","123_Z",614,"3",2022-07-21,"Serene","Zooplankton","Holopedium",10,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"176_16S","176_16S","MP_176_16S","24_Z",3156,"2",2022-06-29,"Blue","Zooplankton","Cyclopoid",50,"copepoda",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"Above"
"177_16S","177_16S","MP_177_16S","80_Z",3628,"3",2022-07-21,"Convict","Zooplankton","Daphnia",30,"cladocera",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"Below"
"179_16S","179_16S","MP_179_16S","68_Z",1503,"3",2022-07-21,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"Above"
"18_16S","18_16S","MP_18_16S","5_Z22",2708,"1",2022-06-29,"Convict","Zooplankton","Calanoid",50,"copepoda",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"Below"
"180_16S","180_16S","MP_180_16S","104_Z",9365,"3",2022-07-21,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"181_16S","181_16S","MP_181_16S","14_Z",985,"2",2022-07-09,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"Above"
"182_16S","182_16S","MP_182_16S","109_Z",12094,"3",2022-07-21,"Eastern Brook","Zooplankton","Cyclopoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"183_16S","183_16S","MP_183_16S","91_Z",10272,"3",2022-07-21,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"184_16S","184_16S","MP_184_16S","99_Z",196,"3",2022-07-21,"Cooney","Zooplankton","Bosmina",50,"cladocera",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"186_16S","186_16S","MP_186_16S","50_Z",5526,"5",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"Above"
"187_16S","187_16S","MP_187_16S","128_Z",300,"3",2022-07-21,"Serene","Zooplankton","Ceriodaphnia",50,"cladocera",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"188_16S","188_16S","MP_188_16S","115_Z",11282,"3",2022-07-21,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"Above"
"189_16S","189_16S","MP_189_16S","66_Z",108,"3",2022-07-21,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"Above"
"190_16S","190_16S","MP_190_16S","105_Z",12758,"3",2022-07-21,"Eastern Brook","Zooplankton","Calanoid",50,"copepoda",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"Above"
"191_16S","191_16S","MP_191_16S","89_Z",2645,"3",2022-07-21,"Cooney","Zooplankton","Daphnia",30,"cladocera",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"Above"
"192_16S","192_16S","MP_192_16S","36_Z",15707,"2",2022-07-09,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"Above"
"193_16S","193_16S","MP_193_16S","176_Z",10787,"4",2022-08-04,"Eastern Brook","Zooplankton","Daphnia",30,"cladocera",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"Above"
"194_16S","194_16S","MP_194_16S","162_Z",3620,"4",2022-08-04,"Convict","Zooplankton","Calanoid",50,"copepoda",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"Below"
"195_16S","195_16S","MP_195_16S","134_Z",29036,"4",2022-08-04,"Virginia","Zooplankton","Cyclopoid",50,"copepoda",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"Above"
"196_16S","196_16S","MP_196_16S","186_Z",68618,"4",2022-08-04,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"Above"
"197_16S","197_16S","MP_197_16S","172_Z",60756,"4",2022-08-04,"Cooney","Zooplankton","Cyclopoid",50,"copepoda",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"Above"
"198_16S","198_16S","MP_198_16S","150_Z",18575,"4",2022-06-29,"Blue","Zooplankton","Cyclopoid",50,"copepoda",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"Above"
"20_16S","20_16S","MP_20_16S","57_Z22",1801,"1",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"Above"
"200_16S","200_16S","MP_200_16S","184_Z",42190,"4",2022-08-04,"Serene","Zooplankton","Calanoid",50,"copepoda",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"Above"
"201_16S","201_16S","MP_201_16S","153_Z",778,"4",2022-08-04,"Convict","Zooplankton","Bosmina",50,"cladocera",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"Below"
"202_16S","202_16S","MP_202_16S","130_Z",5568,"4",2022-08-04,"Virginia","Zooplankton","Daphnia",30,"cladocera",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"Above"
"203_16S","203_16S","MP_203_16S","142_Z",7068,"4",2022-06-29,"Blue","Zooplankton","Daphnia",30,"cladocera",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"Above"
"204_16S","204_16S","MP_204_16S","197_Z",5163,"4",2022-08-04,"Serene","Zooplankton","Holopedium",10,"cladocera",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"Above"
"205_16S","205_16S","MP_205_16S","190_Z",14483,"4",2022-08-04,"Serene","Zooplankton","Daphnia",30,"cladocera",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"Above"
